id,time,abundance,logscale,organism,control
Baudoux32,0,1630000,FALSE,H,TRUE
Baudoux32,5,1710000,FALSE,H,TRUE
Baudoux32,8,1750000,FALSE,H,TRUE
Baudoux32,12,1770000,FALSE,H,TRUE
Baudoux32,16,1960000,FALSE,H,TRUE
Baudoux32,20,1480000,FALSE,H,TRUE
Baudoux32,24.5,2150000,FALSE,H,TRUE
Baudoux32,28,1900000,FALSE,H,TRUE
Baudoux32,32,2000000,FALSE,H,TRUE
Baudoux32,37,2670000,FALSE,H,TRUE
Baudoux32,41,2900000,FALSE,H,TRUE
Baudoux32,45,2450000,FALSE,H,TRUE
Baudoux32,51,2500000,FALSE,H,TRUE
Baudoux32,63,3660000,FALSE,H,TRUE
Baudoux32,0,1420000,FALSE,H,FALSE
Baudoux32,5,1500000,FALSE,H,FALSE
Baudoux32,8,1600000,FALSE,H,FALSE
Baudoux32,12,1550000,FALSE,H,FALSE
Baudoux32,16,1780000,FALSE,H,FALSE
Baudoux32,20,1650000,FALSE,H,FALSE
Baudoux32,24.5,1730000,FALSE,H,FALSE
Baudoux32,28,1680000,FALSE,H,FALSE
Baudoux32,32,1710000,FALSE,H,FALSE
Baudoux32,37,1350000,FALSE,H,FALSE
Baudoux32,41,995000,FALSE,H,FALSE
Baudoux32,45,660000,FALSE,H,FALSE
Baudoux32,51,296000,FALSE,H,FALSE
Baudoux32,63,430000,FALSE,H,FALSE
Baudoux32,0,25000000,FALSE,V,FALSE
Baudoux32,5,27300000,FALSE,V,FALSE
Baudoux32,8,26100000,FALSE,V,FALSE
Baudoux32,12,22600000,FALSE,V,FALSE
Baudoux32,16,25500000,FALSE,V,FALSE
Baudoux32,20,40900000,FALSE,V,FALSE
Baudoux32,24.5,47900000,FALSE,V,FALSE
Baudoux32,28,73600000,FALSE,V,FALSE
Baudoux32,32,132000000,FALSE,V,FALSE
Baudoux32,37,297000000,FALSE,V,FALSE
Baudoux32,41,582000000,FALSE,V,FALSE
Baudoux32,45,688000000,FALSE,V,FALSE
Baudoux32,51,582000000,FALSE,V,FALSE
Baudoux32,63,556000000,FALSE,V,FALSE
Baudoux33,0,1630000,FALSE,H,TRUE
Baudoux33,5,1710000,FALSE,H,TRUE
Baudoux33,8,1750000,FALSE,H,TRUE
Baudoux33,12,1770000,FALSE,H,TRUE
Baudoux33,16,1960000,FALSE,H,TRUE
Baudoux33,20,1480000,FALSE,H,TRUE
Baudoux33,24.5,2150000,FALSE,H,TRUE
Baudoux33,28,1900000,FALSE,H,TRUE
Baudoux33,32,2000000,FALSE,H,TRUE
Baudoux33,37,2670000,FALSE,H,TRUE
Baudoux33,41,2900000,FALSE,H,TRUE
Baudoux33,45,2450000,FALSE,H,TRUE
Baudoux33,51,2500000,FALSE,H,TRUE
Baudoux33,63,3660000,FALSE,H,TRUE
Baudoux33,0,1590000,FALSE,H,FALSE
Baudoux33,5,1640000,FALSE,H,FALSE
Baudoux33,8,1710000,FALSE,H,FALSE
Baudoux33,12,1520000,FALSE,H,FALSE
