EXP,Treatment,limitation,Virus,day,cells ml-1,Sytox Pos,Fv Fm,virus ml-1,virus cell-1
,,,,,,,,,
31,Replete,Replete,Control,0,560916.6667,0.1226,,,
,,,,,,,,,
31,Replete,Replete,Control,0,560916.6667,0.1226,,,
,,,,,,,,,
31,Replete,Replete,Control,0,560916.6667,0.1226,,,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,0,560916.6667,0.1226,,5.00E+06,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,0,560916.6667,0.1226,,5.00E+06,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,0,560916.6667,0.1226,,5.00E+06,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,0,560916.6667,0.1685,,,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,0,560916.6667,0.1685,,,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,0,560916.6667,0.1685,,,
,,,,,,,,,
31,Si-Limited + DNAV,Si-Limited,DNAV,0,560916.6667,0.1685,,5.00E+06,
,,,,,,,,,
31,Si-Limited + DNAV,Si-Limited,DNAV,0,560916.6667,0.1685,,5.00E+06,
,,,,,,,,,
31,Si-Limited + DNAV,Si-Limited,DNAV,0,560916.6667,0.1685,,5.00E+06,
,,,,,,,,,
31,Replete,Replete,Control,1,1029400,0.1383,0.538,,
,,,,,,,,,
31,Replete,Replete,Control,1,1214100,0.1277,0.536,,
,,,,,,,,,
31,Replete,Replete,Control,1,1119400,0.1048,0.539,,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,1,1086800,0.1085,0.524,,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,1,1112900,0.057,0.527,,
,,,,,,,,,
31,Replete + DNAV,Replete,DNAV,1,1115700,0.0661,0.527,,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,1,506800,0.11,0.534,,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,1,481300,0.1192,0.531,,
,,,,,,,,,
31,Si-Limited,Si-Limited,Control,1,550300,0.1237,0.534,,
,,,,,,,,,
