EXP,Nutrient,Virus,Treatments,day,cells per ml,sytox positive,fv fm,virus per ml,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Replete,,,,,Limited,
35,REPLETE,Control,Replete,0,500000,0.02365,0.505,,,5.698970004,,,,,,,,,,,,,
,,,,,,,,,,#NUM!,,,,,,time,org,abundance,,,time,org,abundance
35,REPLETE,Control,Replete,0,500000,0.02365,0.505,,,5.698970004,,,,,0,0,H,500000,  ,0,0,H,500000
,,,,,,,,,,#NUM!,,,,,1,24,H,1171006.499,,1,24,H,778683.9882
35,REPLETE,Control,Replete,0,500000,0.02365,0.505,,,5.698970004,,,,,2,48,H,2202909.831,,2,48,H,1062756.866
,,,,,,,,,,#NUM!,,,,,5,120,H,2373691.1,,5,120,H,1501841.51
35,REPLETE,DNAV,Replete +DNAV,0,500000,0.02365,0.505,7500000,,5.698970004,6.875061263,,,,6,144,H,797869.8946,,6,144,H,1410150.582
,,,,,,,,,,#NUM!,,,,,7,168,H,145376.4994,,7,168,H,1330922.699
35,REPLETE,DNAV,Replete +DNAV,0,500000,0.02365,0.505,7500000,,5.698970004,6.875061263,,,,8,192,H,39.41320252,,8,192,H,976265.786
,,,,,,,,,,#NUM!,,,,,9,216,H,1,,9,216,H,757958.4466
35,REPLETE,DNAV,Replete +DNAV,0,500000,0.02365,0.505,7500000,,5.698970004,6.875061263,,,,12,288,H,1,,12,288,H,230665.6302
,,,,,,,,,,#NUM!,,,,,0,0,V,7500000,,0,0,V,7500000
35,0Fe,Control,Fe Limited,0,500000,0.15455,0.539,,,5.698970004,,,,,2,48,V,5387518206,,2,48,V,58245879
,,,,,,,,,,#NUM!,,,,,8,192,V,61583760166,,8,192,V,17163184030
35,0Fe,Control,Fe Limited,0,500000,0.15455,0.539,,,5.698970004,,,,,,,,,,12,288,V,10198695881
,,,,,,,,,,#NUM!,,,,,,,,,,,,,
35,0Fe,Control,Fe Limited,0,500000,0.15455,0.539,,,5.698970004,,,,,,,,,,,,,
,,,,,,,,,,#NUM!,,,,,,,,,,,,,
35,0Fe,DNAV,Fe Limited + DNAV,0,500000,0.15455,0.539,7500000,,5.698970004,6.875061263,,,,,,,,,,,,
,,,,,,,,,,#NUM!,,,,,,,,,,,,,
35,0Fe,DNAV,Fe Limited + DNAV,0,500000,0.15455,0.539,7500000,,5.698970004,6.875061263,,,,,,,,,,,,
,,,,,,,,,,#NUM!,,,,,,,,,,,,,
35,0Fe,DNAV,Fe Limited + DNAV,0,500000,0.15455,0.539,7500000,,5.698970004,6.875061263,,,,,,,,,,,,
,,,,,,,,,,#NUM!,,,,,,,,,,,,,
