id,time,abundance,logscale,organism,control,stddev,algalHost,algalHostTaxon,virusName,method,error,origSource
Baudoux32,0.0,1630000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,5.0,1710000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,8.0,1750000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,12.0,1770000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,16.0,1960000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,20.0,1480000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,24.5,2150000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,28.0,1900000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,32.0,2000000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,37.0,2670000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,41.0,2900000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,45.0,2450000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,51.0,2500000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,63.0,3660000.0,False,H,True,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,0.0,1420000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,5.0,1500000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,8.0,1600000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,12.0,1550000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,16.0,1780000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,20.0,1650000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,24.5,1730000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,28.0,1680000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,32.0,1710000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,37.0,1350000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,41.0,995000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,45.0,660000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,51.0,296000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,63.0,430000.0,False,H,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,0.0,25000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,5.0,27300000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,8.0,26100000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,12.0,22600000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,16.0,25500000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,20.0,40900000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,24.5,47900000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,28.0,73600000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,32.0,132000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,37.0,297000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,41.0,582000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,45.0,688000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,51.0,582000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux32,63.0,556000000.0,False,V,False,,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,0.0,1630000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,5.0,1710000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,8.0,1750000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,12.0,1770000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,16.0,1960000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,20.0,1480000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,24.5,2150000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,28.0,1900000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,32.0,2000000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,37.0,2670000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,41.0,2900000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,45.0,2450000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,51.0,2500000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,63.0,3660000.0,False,H,True,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,0.0,1590000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,5.0,1640000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,8.0,1710000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,12.0,1520000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,16.0,1820000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,20.0,1580000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,24.5,1660000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
Baudoux33,28.0,1530000.0,False,H,False,,Phaeocystis globosa,Haptophyte,PgV-11T - Group 2b,flow cytometry,,"Baudoux et al., 2005"
