organism,time,abundance,uncertainty
virus,0.0,10981000.0,656690.0
virus,0.2,12959000.0,2987300.0
virus,0.3,13273000.0,3480600.0
virus,0.5,17914000.0,3981250.0
virus,0.7,15899000.0,4815700.0
virus,0.9,13881000.0,3985500.0
virus,0.9,15545000.0,3491900.0
virus,1.0,14527000.0,5474350.0
virus,1.2,12516000.0,6314200.0
virus,1.3,32464000.0,22926000.0
virus,1.5,22129000.0,13453500.0
virus,1.7,32426000.0,22594500.0
virus,1.8,39063000.0,2323200.0
virus,2.0,65668000.0,19773000.0
virus,2.2,37031000.0,5151000.0
virus,2.3,66297000.0,3986300.0
virus,2.5,91902000.0,1657250.0
virus,2.8,134460000.0,11629500.0
virus,3.0,163060000.0,35377000.0
host,0.0,5236900.0,750750.0
host,0.2,5768400.0,950680.0
host,0.3,5835000.0,614550.0
host,0.5,4846200.0,1024690.0
host,0.7,4702100.0,1066300.0
host,0.9,4283600.0,1319600.0
host,1.0,3675000.0,1890100.0
host,1.2,3466700.0,1912950.0
host,1.3,3385700.0,1837700.0
host,1.5,2143500.0,1077450.0
host,1.7,1682400.0,592060.0
host,1.8,1179200.0,538460.0
host,2.0,971320.0,422250.0
host,2.2,890380.0,232770.0
host,2.3,957390.0,105898.21
host,2.5,791980.0,232205.0
host,2.8,734840.0,200460.0
host,3.0,655160.0,306570.0
